formatted_work_date,cts_urn,author,title
-0049-01/+0001-12,tlg5023.tlg013,Scholia in Euripidem,Scholia in Euripidis Hippolytum
-0049-01/+0001-12,tlg5023.tlg014,Scholia in Euripidem,"Scholia in Euripidis Hecubam (scholia vetera et scholia recentiora Thomae Magistri, Triclinii, Moschopuli et anonyma)"
-0049-01/+0001-12,tlg5023.tlg015,Scholia in Euripidem,"Scholia in Euripidis Orestem (scholia vetera et scholia recentiora Thomae Magistri, Triclinii, Moschopuli et anonyma)"
-0049-01/+0001-12,tlg5023.tlg016,Scholia in Euripidem,"Scholia in Euripidis Phoenissas (scholia vetera et scholia recentiora Thomae Magistri, Triclinii, Moschopuli et anonyma)"
-0047-01/-0047-12,tlg1118.tlg003,Pseudo-Dioscorides,De lapidibus
-0043-01/-0009-12,tlg0529.tlg002,Arius Didymus,Liber de philosophorum sectis (epitome ap. Stobaeum)
-0042-01/-0041-12,tlg1803.tlg001,Bruti Epistulae,Epistulae
-0029-01/-0006-12,tlg0081.tlg007,Dionysius of Halicarnassus,Libri secundi de antiquis oratoribus reliquiae
-0029-01/-0006-12,tlg0081.tlg013,Dionysius of Halicarnassus,De compositione verborum (epitome)
-0029-01/-0006-12,tlg0081.tlg014,Dionysius of Halicarnassus,De imitatione (fragmenta)
-0029-01/-0006-12,tlg0081.tlg016,Dionysius of Halicarnassus,Ars Rhetorica
-0026-01/+0014-12,tlg1194.tlg001,Aristonicus of Alexandria,De signis Odysseae
-0025-01/-0025-12,tlg0070.tlg001,"Isidore, of Charax",Mansiones Parthicae
+0001-01/+0100-12,tlg0560.tlg001,Longinus,On the Sublime
+0001-01/+0100-12,tlg0648.tlg001,Onasander,Strategicus
+0001-01/+0100-12,tlg0676.tlg001,"Aglaias, Byzantius",Adversus suffusiones incipientes_Remedy against Incipient Cataracts
+0001-01/+0100-12,tlg1247.tlg001,Cebes,Cebetis tabula
+0001-01/+0100-12,tlg1271.tlg001,Clemens Romanus (Clement of Rome),Epistula I ad Corinthios
+0001-01/+0100-12,tlg1271.tlg002,Clemens Romanus (Clement of Rome),Epistula II ad Corinthios
+0001-01/+0100-12,tlg1311.tlg001,Anonymous,Didache XII Apostolorum
+0001-01/+0100-12,tlg2139.tlg001,Epitaphium Sicili,Sicili Epitaphium
+0001-01/+0200-12,tlg0039.tlg001,Mithridatis Epistula,Epistula
+0001-01/+0200-12,tlg0090.tlg001,Agathemerus,Geographiae informatio
+0001-01/+0200-12,tlg1701.tlg001,Testamentum Abrahae,Testamentum Abrahae (recensio A)
+0001-01/+0200-12,tlg1701.tlg002,Testamentum Abrahae,Testamentum Abrahae (recensio B)
+0001-01/+0400-12,tlg0031.tlg020,Bible,Epistula Iacobi
+0001-01/+0400-12,tlg0031.tlg021,Bible,Epistula Petri I
+0001-01/+0025-12,tlg1750.tlg001,Vitae Prophetarum,De prophetarum vita et obitu (Dorothei recensio)
+0001-01/+0025-12,tlg1750.tlg002,Vitae Prophetarum,De prophetarum vita et obitu (recensio anonyma)
+0001-01/+0025-12,tlg1750.tlg003,Vitae Prophetarum,De prophetarum vita et obitu (recensio scholiis Hesychii aliorumque patrum in prophetas adjecta)
+0001-01/+0025-12,tlg1750.tlg004,Vitae Prophetarum,Index apostolorum discipulorumque Domini
+0001-01/+0050-12,tlg0580.tlg001,Paradoxographus Florentinus,Mirabilia de aquis
